search_keyword,product_name,supplier_name,city,state,supplier_region,rating,price_numeric,price_unit,price_bucket,product_url,supplier_url,catid,mcatid,itemid,dispid,scraped_at
led tv,"Grandeye LED TV, Resolution: 1080P, Screen Size: 65""",Nidhi Enterprises,Coimbatore,Tamil Nadu,South,3.7,78000.0,Piece,High (50k+),https://www.indiamart.com/proddetail/grandeye-led-tv-20677214730.html?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=3,https://www.grandeye.co.in/?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,183343,135880625,20677214730,2026-02-01T08:53:01.165824+00:00
led tv,"Sony 43 Inch LED Smart TV (Pro BZ30L/J) - Android TV, 60 Hz, 4 HDMI Ports",In-Sync Solutions,Coimbatore,Tamil Nadu,South,4.2,NaN,NaN,Unknown,https://www.indiamart.com/proddetail/sony-43-inch-led-smart-tv-pro-bz30l-j-2858157411233.html?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.indiamart.com/insync-solution/?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184301,316173110,2858157411233,2026-02-01T08:53:01.165824+00:00
led tv,Secure Plus Standard TV 24 SP-FSD24,Smw Agencies,Coimbatore,Tamil Nadu,South,4.1,NaN,NaN,Unknown,https://www.indiamart.com/proddetail/secure-plus-standard-tv-24-sp-fsd24-2854616068897.html?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.indiamart.com/smw-agencies-coimbatore/?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,44612,280759686,2854616068897,2026-02-01T08:53:01.165824+00:00
led tv,EYE24P413GG EYEPLUS 24inch LED TV,D Technologies,Puthunagaram,Kerala,South,4.1,7000.0,Piece,Low (<10k),https://www.indiamart.com/proddetail/eye24p413gg-eyeplus-24inch-led-tv-2853496871333.html?pos=4&kwd=led%20tv&tags=rk:B|plc:1|dt:47|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:7000|ri:M_B_50_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.indiamart.com/d-technologies-puthunagaram/?pos=4&kwd=led%20tv&tags=rk:B|plc:1|dt:47|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:7000|ri:M_B_50_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,44612,269567713,2853496871333,2026-02-01T08:53:01.165824+00:00
led tv,"Wall Mount LG LED TV, Screen Size: 32 Inch",Gv Audio Vision,Coimbatore,Tamil Nadu,South,4.0,16500.0,Piece,Mid (10k-50k),https://www.indiamart.com/proddetail/lg-led-tv-2851512981291.html?pos=5&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:16500|ri:VGP_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.indiamart.com/gv-audio-vision/?pos=5&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:16500|ri:VGP_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184302,249728813,2851512981291,2026-02-01T08:53:01.165824+00:00
led tv,Black Wall Mount Led Tv,Dhawan Electronics,Faridabad,Haryana,North,4.2,7800.0,Piece,Low (<10k),https://www.indiamart.com/proddetail/wall-mount-led-tv-2852144306855.html?pos=6&kwd=led%20tv&tags=rk:A|plc:1|dt:1934|db:39|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|prv:7800|ri:S_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.dhawangroup.in/?pos=6&kwd=led%20tv&tags=rk:A|plc:1|dt:1934|db:39|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|prv:7800|ri:S_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,44612,256042069,2852144306855,2026-02-01T08:53:01.165824+00:00
led tv,"Samsung LED TV, 43 inch",Achme Communication,Coimbatore,Tamil Nadu,South,4.0,25000.0,Piece,Mid (10k-50k),https://www.indiamart.com/proddetail/samsung-led-tv-2854698002488.html?pos=7&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:25000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,https://www.indiamart.com/achmecommunicationpeelamedu/?pos=7&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:25000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184300,281579022,2854698002488,2026-02-01T08:53:01.165824+00:00
led tv,Sony Bravia QA55LS03BAKLXL Smart LED TV,Hanifa Crockerys Centre,Coimbatore,Tamil Nadu,South,5.0,46589.0,Piece,Mid (10k-50k),https://www.indiamart.com/proddetail/sony-bravia-qa55ls03baklxl-smart-led-tv-2856909166697.html?pos=8&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:46589|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=5,https://www.indiamart.com/hanifa-crockerys-centre/?pos=8&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:46589|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184301,303690664,2856909166697,2026-02-01T08:53:01.165824+00:00
led tv,"Sony EZ20L Commerical Display LED TV, 43 inch",One Beyond Services Private Limited,Coimbatore,Tamil Nadu,South,5.0,42700.0,Piece,Mid (10k-50k),https://www.indiamart.com/proddetail/sony-ez20l-commerical-display-led-tv-2855785284712.html?pos=9&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:42700|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=5,https://www.indiamart.com/one-beyond-services/?pos=9&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:42700|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184301,292451845,2855785284712,2026-02-01T08:53:01.165824+00:00
led tv,"Wall Mount Samsung Led Tv, 32 inch",Mks Electronics,Coimbatore,Tamil Nadu,South,5.0,30000.0,Piece,Mid (10k-50k),https://www.indiamart.com/proddetail/samsung-led-tv-2853351343791.html?pos=10&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:30000|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=5,https://www.indiamart.com/mks-electronics-coimbatore/?pos=10&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:30000|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,762,184300,268112437,2853351343791,2026-02-01T08:53:01.165824+00:00
