column,dtype,rows,non_null,nulls,null_pct,unique,sample_values
price_unit,object,391,166,225,57.54,3,Piece | Piece | Piece
rating,float64,391,285,106,27.11,25,3.7 | 4.2 | 4.1
price_numeric,float64,391,286,105,26.85,221,78000.0 | 7000.0 | 16500.0
product_url,object,391,311,80,20.46,311,https://www.indiamart.com/proddetail/grandeye-led-tv-20677214730.html?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=3 | https://www.indiamart.com/proddetail/sony-43-inch-led-smart-tv-pro-bz30l-j-2858157411233.html?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4 | https://www.indiamart.com/proddetail/secure-plus-standard-tv-24-sp-fsd24-2854616068897.html?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4
dispid,int64,391,391,0,0.0,390,20677214730 | 2858157411233 | 2854616068897
itemid,int64,391,391,0,0.0,390,135880625 | 316173110 | 280759686
mcatid,int64,391,391,0,0.0,71,183343 | 184301 | 44612
catid,int64,391,391,0,0.0,9,762 | 762 | 762
supplier_url,object,391,391,0,0.0,391,https://www.grandeye.co.in/?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb | https://www.indiamart.com/insync-solution/?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb | https://www.indiamart.com/smw-agencies-coimbatore/?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19186|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260130|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb
search_keyword,object,391,391,0,0.0,21,led tv | led tv | led tv
price_bucket,object,391,391,0,0.0,4,High (50k+) | Unknown | Unknown
product_name,object,391,391,0,0.0,349,"Grandeye LED TV, Resolution: 1080P, Screen Size: 65"" | Sony 43 Inch LED Smart TV (Pro BZ30L/J) - Android TV, 60 Hz, 4 HDMI Ports | Secure Plus Standard TV 24 SP-FSD24"
supplier_region,object,391,391,0,0.0,4,South | South | South
state,object,391,391,0,0.0,11,Tamil Nadu | Tamil Nadu | Tamil Nadu
city,object,391,391,0,0.0,46,Coimbatore | Coimbatore | Coimbatore
supplier_name,object,391,391,0,0.0,314,Nidhi Enterprises | In-Sync Solutions | Smw Agencies
scraped_at,object,391,391,0,0.0,1,2026-02-01T08:53:01.165824+00:00 | 2026-02-01T08:53:01.165824+00:00 | 2026-02-01T08:53:01.165824+00:00
