search_keyword,product_name,product_url,supplier_name,supplier_url,price,phone,city,state,locality,location_ui,rating,image,catid,mcatid,itemid,dispid,brand,capacity,power,ac_type,function_type,isq_attributes,scraped_at
led tv,"Grandeye LED TV, Resolution: 1080P, Screen Size: 65""",https://www.indiamart.com/proddetail/grandeye-led-tv-20677214730.html?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=3,Nidhi Enterprises,https://www.grandeye.co.in/?pos=1&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:78000|ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 78,000/Piece",,Coimbatore,Tamil Nadu,Gandhipuram,Coimbatore,3.7,http://5.imimg.com/data5/ANDROID/Default/2020/8/JL/AF/IJ/11935657/product-jpeg-500x500.jpg,762,183343,135880625,20677214730,,,,,,"Screen Size=65""; Resolution=1080P; 3D Digital Comb Filter=yes; OSD language=English; I Deal In=New only; Quality=Best",2026-02-01T11:51:11.846142+00:00
led tv,"Sony 43 Inch LED Smart TV (Pro BZ30L/J) - Android TV, 60 Hz, 4 HDMI Ports",https://www.indiamart.com/proddetail/sony-43-inch-led-smart-tv-pro-bz30l-j-2858157411233.html?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,In-Sync Solutions,https://www.indiamart.com/insync-solution/?pos=2&kwd=led%20tv&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,Ask Price,,Coimbatore,Tamil Nadu,VSK Nagar,Coimbatore,4.2,http://5.imimg.com/data5/SELLER/Default/2025/12/567070957/GQ/RW/GR/42136747/sony-43-inch-led-smart-tv-pro-bz30l-j-1000x1000.jpg,762,184301,316173110,2858157411233,,,,,,"Smart TV=Yes; Resolution=3840 x 2160; Operating System=Android TV; Refresh Rate=60 Hz; HDMI Ports=4 ports; Speaker Output=20 W; Panel Type=IPS Panel; HDR Support=HDR10, HLG, Dolby Vision; Screen Size=43 inch; Screen Type=LED",2026-02-01T11:51:11.846142+00:00
led tv,Secure Plus Standard TV 24 SP-FSD24,https://www.indiamart.com/proddetail/secure-plus-standard-tv-24-sp-fsd24-2854616068897.html?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,SMW Agencies,https://www.indiamart.com/smw-agencies-coimbatore/?pos=3&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:M|rsf:gd||ri:M_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,Ask Price,,Coimbatore,Tamil Nadu,Sulur,Coimbatore,4.1,http://5.imimg.com/data5/SELLER/Default/2024/8/441424513/AX/OR/PK/7359268/whatsapp-image-2024-08-08-at-15-53-15-4b0e1c4e-1000x1000.jpg,762,44612,280759686,2854616068897,,,,,,,2026-02-01T11:51:11.846142+00:00
led tv,EYE24P413GG EYEPLUS 24inch LED TV,https://www.indiamart.com/proddetail/eye24p413gg-eyeplus-24inch-led-tv-2853496871333.html?pos=4&kwd=led%20tv&tags=rk:B|plc:1|dt:47|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:7000|ri:M_B_50_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,D Technologies,https://www.indiamart.com/d-technologies-puthunagaram/?pos=4&kwd=led%20tv&tags=rk:B|plc:1|dt:47|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:7000|ri:M_B_50_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 7,000/Piece",,Puthunagaram,Kerala,Karippode,Puthunagaram,4.1,http://5.imimg.com/data5/ANDROID/Default/2024/2/392524961/DH/SA/VQ/41414322/product-jpeg-500x500.jpg,762,44612,269567713,2853496871333,,,,,,Warranty=3years,2026-02-01T11:51:11.846142+00:00
led tv,"Wall Mount LG LED TV, Screen Size: 32 Inch",https://www.indiamart.com/proddetail/lg-led-tv-2851512981291.html?pos=5&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:16500|ri:VGP_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,GV Audio Vision,https://www.indiamart.com/gv-audio-vision/?pos=5&kwd=led%20tv&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:gd|prv:16500|ri:VGP_B_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 16,500/Piece",,Coimbatore,Tamil Nadu,B.K.R Nagar,Coimbatore,4.0,http://5.imimg.com/data5/SELLER/Default/2023/6/315309180/JA/JZ/KH/78651993/led-tv-1000x1000.jpg,762,184302,249728813,2851512981291,,,,,,Screen Size=32 Inch; Resolution=HD; Mounting Type=Wall Mount; Warranty=2 Years; Color=Black; Country of Origin=Made in India,2026-02-01T11:51:11.846142+00:00
led tv,"AYKON LED TV ( OFFICIAL HAVER ELECTRIC), Screen Size: 32 inch",https://www.indiamart.com/proddetail/aykon-led-tv-official-haver-electric-2851077281597.html?pos=6&kwd=led%20tv&tags=rk:A|plc:1|dt:1934|db:39|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|prv:6870|ri:S_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,Dhawan Electronics,https://www.dhawangroup.in/?pos=6&kwd=led%20tv&tags=rk:A|plc:1|dt:1934|db:39|prc:1|dtp:p|pfs:1|sv:S|rsf:gl|prv:6870|ri:S_A_G250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 6,870/Piece",,Faridabad,Haryana,Jawahar Colony,Faridabad,4.2,http://5.imimg.com/data5/SELLER/Default/2023/6/316581386/VN/AP/PY/13930040/aykon-led-tv-official-haver-electric--500x500.jpg,762,650708,245371816,2851077281597,,,,,,"Resolution=1080px; Operating System=Android; Refresh Rate=50 Hz; Mounting Type=Wall Mount; Warranty=3 years; Connectivity=hdmi, vga, dth, usb, av out put; Color=golden, silver , black; Speaker Type=box speaker 24w; Country of Origin=Made in India; Screen Size=32 inch",2026-02-01T11:51:11.846142+00:00
led tv,"Samsung LED TV, 43 inch",https://www.indiamart.com/proddetail/samsung-led-tv-2854698002488.html?pos=7&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:25000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,Achme Communication,https://www.indiamart.com/achmecommunicationpeelamedu/?pos=7&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:25000|ri:T_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 25,000/Piece",,Coimbatore,Tamil Nadu,Peelamedu,Coimbatore,4.0,http://5.imimg.com/data5/SELLER/Default/2024/8/444356958/RH/ZX/JU/7808107/75-samsung-interactive-display-wa75c-lh75wacwlgcxza-1000x1000.jpg,762,184300,281579022,2854698002488,,,,,,Connect To Home Theatre Via=[HDMI / Optical / ARC / Bluetooth]; Display H Scanning Frequency=30–80 kHz; Connect to Router via=[Ethernet / Wi-Fi]; Stream Content From Devices=[USB / DLNA / Screen Mirroring / Mobile Apps]; Display V Scanning Frequency=50–75 Hz; Active Display Area(mm)=950 x 535 mm for 43-inch model; Screen Size=43 inch,2026-02-01T11:51:11.846142+00:00
led tv,"Sony EZ20L Commerical Display LED TV, 43 inch",https://www.indiamart.com/proddetail/sony-ez20l-commerical-display-led-tv-2855785284712.html?pos=8&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:42700|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=5,One Beyond Services Private Limited,https://www.indiamart.com/one-beyond-services/?pos=8&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:42700|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 42,700/Piece",,Coimbatore,Tamil Nadu,Ramanathapuram,Coimbatore,5.0,http://5.imimg.com/data5/SELLER/Default/2025/2/488771716/IJ/BV/HQ/239458584/sony-ez20l-commerical-display-tv-1000x1000.jpg,762,184301,292451845,2855785284712,Sony,,,,,Mounting Type=Wall Mount; Warranty=1 Year; Connectivity=USB; Screen Size=43 inch; Brand=Sony; Model=EZ20L,2026-02-01T11:51:11.846142+00:00
led tv,"Wall Mount Samsung Led Tv, 32 inch",https://www.indiamart.com/proddetail/samsung-led-tv-2853351343791.html?pos=9&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:30000|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=5,MKS Electronics,https://www.indiamart.com/mks-electronics-coimbatore/?pos=9&kwd=led%20tv&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p||sv:M|rsf:gd|prv:30000|ri:M_T_0_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 30,000/Piece",,Coimbatore,Tamil Nadu,New Sidhapudur,Coimbatore,5.0,http://5.imimg.com/data5/SELLER/Default/2024/2/382656487/LC/YW/LE/17233374/jgwk36sz-1000x1000.jpg,762,184300,268112437,2853351343791,,,,,,Screen Size=32 inch; Mounting Type=Wall Mount; Warranty=3 Year; Connectivity=USB; Color=Black; Voltage=80V; Response Time=1 ms,2026-02-01T11:51:11.846142+00:00
led tv,"Black Panel Mount 32 Inch Redpower LED TV, Resolution: 3840 X 2160p, Hdmi,Usb",https://www.indiamart.com/proddetail/32-inch-redpower-led-tv-22283300962.html?pos=10&kwd=led%20tv&tags=rk:A|plc:1|dt:228|db:05|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|prv:9000|ri:T_A_250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb|r=4,Manidhari Electronics,https://www.indiamart.com/manidhari-electronics-bengaluru/?pos=10&kwd=led%20tv&tags=rk:A|plc:1|dt:228|db:05|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|prv:9000|ri:T_A_250_P|em:1-|-res:RC3|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:coimbatore|qr_nm:gl-gd|cs:19185|com-cf:nl|ptrs:na|mc:44612|cat:762|qry_typ:P|lang:en|tyr:2|qrd:260129|mrd:260101|prdt:260201|msf:ls|pfen:1|gli:U0G0I0|gc:Coimbatore|ic:Coimbatore|scw:1|emt:9|v=4|crs=glb,"₹ 9,000/Piece",,Bengaluru,Karnataka,SP Road,Bengaluru,4.6,http://5.imimg.com/data5/QD/ZT/DO/ANDROID-37103844/product-jpeg-500x500.jpg,762,650708,151941487,22283300962,Red Power,,,,,"Brand=Red Power; Power Requirement=220 V; Response Time=8 ms; Shape=Rectangle; Frequency=50 Hz; Screen Size=32 Inch; Resolution=3840 x 2160p; Mounting Type=Panel Mount; Connectivity=HDMI, USB; Color=Black; Display Type=LED",2026-02-01T11:51:11.846142+00:00
